reviewer_name,reviewer_id,shelves,number_of_reviews,friends_count,following,followers
Brad,1022982,"[['5626332', 'read', '1365'], ['2107150', 'currently-reading', '14'], ['2107149', 'to-read', '993'], ['71504015', 'a-floating-bar-of-ivory', '6'], ['227982777', 'abandoned', '3'], ['51406868', 'about-confidence', '2'], ['23580610', 'about-death', '8'], ['68713718', 'about-deities', '6'], ['153795578', 'about-family', '16'], ['360946938', 'about-forgiveness', '2'], ['246750334', 'about-gender', '4'], ['46968192', 'about-guilt', '12'], ['221833455', 'about-hate', '2'], ['19466037', 'about-imagination', '16'], ['48266830', 'about-lies', '7'], ['38039315', 'about-life', '28'], ['22241973', 'about-love', '13'], ['33320788', 'about-madness', '7'], ['247620012', 'about-meaninglessness', '5'], ['244507110', 'about-memory', '9'], ['244141173', 'about-power', '11'], ['243051992', 'about-revolution', '7'], ['40985520', 'about-sexuality', '13'], ['19090382', 'about-violence', '58'], ['3380732', 'adventure', '78'], ['4174533', 'anarchism', '8'], ['21419820', 'anger-management', '3'], ['17766092', 'annoying', '7'], ['128136187', 'anti-heroes', '3'], ['24202792', 'apocalypse', '2'], ['3599939', 'archaeology', '4'], ['10798989', 'armageddon', '6'], ['6266783', 'arthurian', '1'], ['10111748', 'ashamed-of-myself', '6'], ['16161959', 'asian-american-canadian-lit', '1'], ['40253925', 'astonishing', '4'], ['23676700', 'atheism', '4'], ['3382404', 'aubrey-maturin', '25'], ['334748357', 'audible-originals', '2'], ['5099134', 'audio-book', '97'], ['13937651', 'aussie-lit', '3'], ['3376370', 'autobiography', '16'], ['11579341', 'avoid-at-all-costs', '4'], ['14661687', 'banks-culture-novel', '7'], ['11806641', 'bath-time', '3'], ['141821200', 'because-of-bronte', '4'], ['14608289', 'bedtime-book', '18'], ['9291943', 'better-as-a-movie', '12'], ['22241996', 'better-every-time', '7'], ['16161615', 'beyond-my-ken', '1'], ['3376371', 'biography', '17'], ['10111732', 'bizarro', '7'], ['15708018', 'blasphemy', '5'], ['205978399', 'blowing-all-the-goats', '4'], ['17052965', 'book-club-read', '2'], ['15707803', 'book-of-mormon-spoof', '2'], ['3347309', 'booker-prize', '41'], ['16313537', 'bronte-milos-books', '19'], ['21420245', 'caldecott-winner', '2'], ['3380674', 'canadian-lit', '79'], ['55504422', 'cannibalism', '3'], ['3376362', 'children', '90'], ['3372043', 'cinema', '6'], ['4429271', 'cinematic', '12'], ['4986893', 'cities', '5'], ['3382289', 'classic', '101'], ['3380662', 'collection', '4'], ['9396502', 'comic-books', '76'], ['267522553', 'communism', '1'], ['3382403', 'cooking', '3'], ['8471730', 'counter-factual', '1'], ['10471176', 'counter-fantastical', '5'], ['13888897', 'crazier-than-a-lobotomized-mcmurphy', '8'], ['254836352', 'cults', '1'], ['20214802', 'curiousity-killed-the-bananas', '14'], ['13582778', 'cutting-vegetables', '4'], ['11828249', 'cyberpunk', '2'], ['14923512', 'd-and-d', '3'], ['5059832', 'daily-lit', '1'], ['55504294', 'dc', '12'], ['16510927', 'detective', '33'], ['78388201', 'disdain-for-the-silver-spoon', '1'], ['6199991', 'doing-the-dishes', '40'], ['3372048', 'drama', '55'], ['13764676', 'drunken-reviews', '9'], ['3380658', 'dystopian', '31'], ['12411067', 'eastern-european-lit', '2'], ['6855561', 'ecological', '11'], ['3376358', 'en-francais', '2'], ['13162792', 'epistolary', '4'], ['3382308', 'erotica', '10'], ['3380678', 'essays', '8'], ['9308458', 'ethics', '7'], ['13937663', 'exceeded-my-expectations', '56'], ['11806583', 'false-start', '9'], ['3372067', 'fantasy', '134'], ['30439893', 'fantasy-noir', '3'], ['15383151', 'fantasy-urban-fantasy', '13'], ['9582732', 'fascinating', '13'], ['2107561', 'faves', '100']]",2371,641,"['42508', '45618', '155411', '180908', '193310', '264037', '350677', '405390', '565777', '652877', '686068', '754607', '1139691', '1199525', '1246826', '1660601', '1662632', '1984278', '2068331', '2187043', '2302019', '2503905', '2639169', '2784667', '2867198', '2897470', '3122798', '3430722', '3628588', '3672777', '3752158', '3926982', '4015835', '4056896', '4886151', '5108634', '5360798', '5986465', '6137432', '7709183', '8540972', '10488136', '11996013', '13268729', '13550435', '14689578', '20604460', '22788289', '24132434', '24619481', '24639415', '30229738', '38633908', '60898273', '89146718', '95252895', '5434990', '2012116', '616035', '1828815', '3488211', '1059561', '4191998', '123081', '5895693', '147818', '8678082', '22528442', '1209897', '8663519', '37421322', '62562651', '48216', '248667', '3386681', '9514978', '2720488', '655723', '1118033']","['1911345', '478604', '2677171', '1654493', '766382', '2513304', '2573522', '2633250', '2773814', '2496802', '2595726', '2468811', '2899429', '731885', '1672123', '2515833', '726952', '2937568', '3211682', '1052356', '244519', '748860', '2341546', '3456326', '321695', '1343864', '677348', '3397125', '3425042', '3655398', '1840813', '2350266', '1409406', '3891963', '2126861', '2548676', '966475', '1537951', '409141', '2383438', '3398936', '4056896', '193978', '3238178', '2867198', '4038876', '2891440', '1015035', '4112967', '4008926', '4079926', '4351429', '2611049', '3183312', '1803546', '4438815', '2578079', '4446534', '4238991', '2133743', '2405542', '4462756', '2341079', '707290', '3214513', '4528433', '2695290', '4517617', '4676052', '3858472', '4288007', '4769883', '4032474', '1009850', '3927450', '4915575', '5071150', '4883147', '3993295', '2615797', '4916684', '4137250', '3793933', '688805', '3598844', '5206760', '4766653', '1353299', '590722', '5088546', '5163727', '2588904', '5021613', '3770050', '4495826', '4867561', '3284957', '5748775', '365191', '5814341', '2965650', '171197', '1972600', '4510816', '5884117', '5989440', '2735724', '5911549', '1947476', '1267044', '3106051', '4674436', '5779600', '5008212', '3378114', '3399262', '2917036', '6188113', '5986465', '4267670', '993934', '2049045', '4055229', '3748625', '1667228', '4718801', '2451459', '1072582', '1169488', '6984364', '4194998', '5006157', '3350026', '7147443', '3551539', '7191353', '4637861', '1292442', '640565', '2509719', '4174287', '2147506', '2591472', '3524962', '690933', '7244416', '6603979', '4674849', '6995054', '5736162', '5533389', '5666413', '4750866', '2312773', '7463380', '7603740', '6926034', '889182', '4298022', '7746428', '7566233', '7864084', '6371997', '6708853', '5518587', '2800103', '5988009', '1526945', '7860660', '8124709', '7551152', '5032407', '8373580', '8229658', '8438032', '6929819', '3443075', '772594', '6138421', '3430722', '7322706', '4296552', '5545209', '6571752', '5974610', '6808606', '9034847', '8117057', '5486168', '5395370', '3087989', '5214076', '8313353', '3482493', '2058045', '3020401', '8603844', '4709630', '917604', '7609702', '7005397', '2897470', '9325873', '5393057', '7303319', '5584082', '9696384', '7272240', '5461003', '7709183', '9788626', '9605968', '5311862', '3947785', '5153705', '5623074', '8755149', '8678082', '3920693', '8898589', '5231366', '6137432', '10665178', '6961187', '8540972', '10652891', '8244480', '8140239', '10642275', '11050049', '2089818', '11188866', '8954507', '5146355', '6903379', '11556545', '11484460', '1047204', '5043495', '1884376', '5720993', '6006000', '9283392', '7307699', '7084139', '12023344', '3122798', '11480692', '5916879', '11601828', '4313798', '2617849', '5064568', '5360798', '12241874', '8765848', '11554626', '2841617', '5596482', '8975014', '5927696', '5188724', '1642835', '3787500', '14163973', '7913762', '14116541', '4134979', '8448572', '13548392', '11000479', '311550', '5216713', '13062328', '14936065', '4702933', '14084389', '446464', '3205627', '4274411', '15787337', '1247785', '1651956', '14407923', '8150254', '8244290', '15525522', '434214', '4281567', '11669402', '2009627', '5095949', '15807360', '5234799', '12730934', '15065311', '5885356', '2321605', '15299452', '11665678', '5608138', '13793537', '9140098', '13805389', '11389969', '18466686', '18102778', '18526237', '13275611', '15010844', '6676350', '11448194', '18993572', '18260795', '15134754', '3724913', '19050776', '4492247', '17299777', '19131033', '19113749', '18678899', '4730757', '6942064', '646453', '14569269', '9545681', '19919325', '13770290', '1632189', '20767785', '5854599', '11450264', '16796020', '6969151', '17411917', '6600821', '21246845', '13744607', '4886151', '13889788', '16182198', '10213308', '15592256', '3347032', '4798575', '22376958', '3900810', '11794551', '15525754', '6910400', '8574264', '23176768', '5265015', '23196039', '12819744', '17351593', '23615708', '12008832', '4028135', '22797196', '4841407', '146323', '1496221', '18313252', '6102481', '11922458', '4420074', '1240205', '24899756', '7207399', '25029237', '7166456', '5279136', '5216250', '32155', '11005660', '5709350', '2236607', '4186397', '1658022', '26028729', '24313817', '9205349', '14617005', '10169131', '4152144', '26938959', '22922570', '27660383', '16241623', '4219259', '11010546', '12212113', '2436096', '5876597', '20375414', '13881262', '1305398', '14173170', '16732603', '24166511', '1237017', '20158429', '2766548', '27314830', '14488056', '7363204', '22084900', '6016722', '22197908', '8776086', '9792446', '29870376', '27200735', '7711825', '440212', '8229319', '27080975', '16802061', '7438654', '1157527', '16385595', '19977539', '20928714', '5086484', '20352560', '14631716', '49288', '21473333', '14832969', '18280384', '30904806', '30639918', '6937749', '29751901', '31298439', '30517662', '30977871', '23206557', '29284727', '6351114', '8538494', '1923510', '13713981', '28038392', '6056793', '11897211', '23133365', '7057515', '3244530', '11437668', '22287854', '21432014', '7485973', '18040491', '8124742', '3586045', '21393938', '4418473', '323586', '32393667', '3959019', '21105784', '33247766', '20185864', '6254936', '33053941', '27336516', '1668488', '287912', '33804513', '9654275', '7584654', '20443756', '23787995', '31551993', '13915728', '12054077', '4021665', '34446094', '34502092', '3994698', '20977929', '11713906', '11440929', '9955802', '14235472', '28781546', '3373777', '4440546', '18829008', '35178617', '35297559', '23258105', '26701418', '35557516', '10077856', '28254464', '5612909', '24499450', '18885455', '8663495', '20244583', '2634767', '25332830', '18574298', '5862926', '25070174', '19875814', '25977305', '13620769', '24610043', '17619409', '6816078', '18592000', '16635944', '36814029', '3432868', '37208179', '6038892', '11770040', '21396408', '31489125', '13268729', '32850708', '5417872', '5586759', '6002872', '38361130', '13047077', '36055527', '16010884', '29399830', '23955212', '21885134', '36979749', '27170159', '39130175', '23012824', '33675120', '34097489', '6759669', '33959228', '21339835', '34976973', '5514251', '436724', '10862757', '4261678', '39624603', '17269461', '3962799', '31247639', '25167059', '17154243', '6937570', '19569261', '40643654', '5071646', '23054793', '3353705', '8236768', '4866096', '13025565', '19371184', '17766399', '9567844', '41532071', '37724822', '39696499', '20975717', '2210014', '1209392', '915491', '2472816', '8233258', '10522600', '12045518', '14964637', '16631192', '20971806', '7179897', '4831485', '7091027', '43316130', '39530410', '33853640', '31621015', '37960716', '43848282', '32909141', '9095628', '3113347', '37888776', '44311912', '10675385', '15029331', '4956860', '39204038', '27505011', '2664635', '29971579', '4898078', '45926771', '27690294', '33920958', '45694574', '32473749', '6753400', '46612105', '46176522', '8255266', '26801576', '17655710', '4249403', '2109722', '3424230', '34207574', '40919299', '47396537', '28280419', '33654199', '7252524', '46276261', '7455370', '2766931', '37320515', '18352095', '27975481', '13029605', '41970379', '2786495', '36724462', '49493552', '41028904', '49880997', '50367522', '13357710', '1473844', '46155067', '50814281', '51201907', '15591668', '31520235', '19282385', '7798697', '51673975', '2567068', '28335263', '27354082', '51963497', '17262906', '44483138', '18347002', '48024936', '157993', '31131432', '48425060', '3603948', '25548006', '27945610', '13062065', '4814863', '44019710', '8347958', '47868173', '52637624', '2809509', '34957643', '10272039', '42602961', '35321627', '42684005', '24135982', '53561751', '10920490', '20006893', '18532043', '53224161', '7933062', '46378714', '3715825', '3141313', '5672978', '50788175', '53079693', '54338568', '51674908', '32188158', '5040878', '147049', '41760947', '4288011', '49770105', '15687933', '8231231', '3821683', '52927906', '1452994', '22071660', '27646623', '2505628', '10073712', '29113710', '7423942', '55410455', '48966829', '27671333', '47169621', '56177167', '52063455', '19931784', '1776052', '10017131', '24334590', '53689706', '50206326', '7645507', '13627164', '50586696', '50442671', '2639389', '50499310', '10588990', '6871437', '27549435', '6678812', '39747761', '30646794', '12674939', '12821126', '46923582', '46314463', '35732074', '57993981', '28175375', '60017602', '9829493', '950684', '15962603', '60691982', '35010327', '6057631', '52312277', '60464222', '33347907', '38583328', '56050541', '8158859', '30522864', '50145321', '23756205', '39486139', '5366423', '69889', '24825790', '24391293', '56123801', '63405531', '5736865', '63436123', '26794080', '63035780', '635752', '23413621', '34120114', '4865432', '55018871', '29056896', '10006667', '39084355', '64041403', '63528940', '5906293', '720287', '46719505', '22969852', '59924726', '17563122', '9551498', '23857545', '35491094', '29401395', '65875156', '23384540', '7946451', '24500656', '15497956', '59978228', '4257509', '66600442', '19832294', '17340505', '54642248', '49334210', '66069874', '29713769', '4156577', '4606409', '33937495', '66097047', '52438759', '41173226', '2737628', '67751779', '49647110', '67628004', '48576559', '25718424', '18275134', '60066369', '58948384', '33665702', '65964507', '40943766', '65067206', '30898491', '51743463', '5915119', '29710593', '63312150', '1796499', '18033249', '657007', '26791228', '60466575', '35972919', '47913943', '40378929', '15923175', '25662377', '1774652', '44158582', '16834256', '1477792', '11177472', '6714961', '71396473', '39679920', '69569482', '4925006', '71478086', '19807524', '70058699', '6042842', '72294893', '15201611', '12450655', '61486263', '37988285', '60751930', '21163895', '54864972', '47859267', '73233238', '27919479', '20575182', '5235304', '26838006', '654572', '64019735', '7787544', '68700646', '24078554', '58027363', '2645708', '47020657', '30262674', '58743982', '10363858', '9103105', '2675309', '75242203', '37142712', '72995270', '5038565', '5455711', '65302969', '3940248', '68743375', '75795360', '54365880', '13595581', '73697289', '5413590', '68871192', '18403597', '65805366', '19463634', '53290294', '76034318', '23934653', '77335711', '20862217', '29068436', '49652669', '3803786', '70150107', '60815472', '23588586', '6769012', '40793140', '76055839', '67399486', '34024571', '11673896', '46871360', '40165005', '7915481', '72268027', '6985500', '26047377', '25152764', '2266055', '70627209', '4344016', '65883937', '81226694', '22421618', '37440250', '34009374', '15847499', '33928836', '8686221', '2344478', '51563282', '82593643', '28683425', '34367336', '80422760', '50701929', '6525059', '16708124', '43285969', '42093616', '58102041', '8634905', '26866664', '66939490', '10263103', '28364663', '5724695', '35624507', '84782103', '3974090', '56833303', '36868893', '76512763', '80145900', '85433988', '14019096', '2076271', '69571407', '46701499', '75446514', '65747625', '23005930', '28788746', '84406469', '68709720', '10511802', '51133482', '12181616', '66645062', '221903', '32758188', '24826276', '5992687', '11186127', '203377', '87895658', '63344881', '39755297', '58402287', '75852338', '12046541', '9662927', '69348187', '75181307', '20975732', '65993159', '41492925', '12140359', '89244028', '54129579', '37880858', '54324327', '88614930', '86631482', '6416264', '89734931', '74443297', '2948594', '41335813', '7544182', '20604460', '89688414', '22320203', '68678242', '63738221', '7593884', '10733023', '3936696', '40684802', '19253610', '87109571', '88044571', '8287275', '87215934', '86260512', '7313087', '29777818', '57929372', '87296619', '63505237', '78186543', '60916060', '77712354', '74008703', '27680860', '64605953', '1291890', '29188891', '65920697', '69924189', '92905539', '93086728', '45129347', '87278144', '32351278', '51177450', '89957159', '33072405', '93635705', '76720680', '93678678', '12768680', '37683431', '85439400', '21198215', '80160817', '91738082', '79259376', '31016439', '67839495', '16907197', '94416348', '86915349', '7542448', '6153851', '92820194', '94802373', '9889108', '61193135', '94530319', '79579989', '5012763', '52570219', '26209545', '50893867', '82546422', '91974034', '89933901', '94345253', '32638495', '96953958', '62603897', '6847692', '96026696', '97533548', '96892828', '63863016', '94945733', '16752141', '9771979', '46788274', '78272307', '13818089', '11525196', '9716607', '86276805', '84722882', '2298109', '34198930', '69153714', '40481325', '39113516', '49639607', '81547783', '16456158', '17877833', '1878244', '7587570', '35623584', '74466071', '52162824', '1199525', '42798295', '52238548', '2645533', '96669336', '2720488', '63935447', '1032878', '1245028', '82243162', '39797025', '63984687', '30278564', '4003368', '102208353', '76612544', '102205731', '58531258', '17644575', '1309140', '50717174', '99694366', '66657202', '68928195', '61513058', '103606981', '96000362', '103741419', '7798579', '16038731', '76522800', '104369176', '39977779', '3913629', '66554183', '43416679', '17589966', '91825645', '25837642', '104378160', '103268338', '31826703', '105715770', '73756130', '59498512', '12241097', '106161446', '11352985', '100861480', '89927106', '75639848', '4475560', '15990076', '51815258', '4071092', '7414237', '3643260', '19301126', '7833064', '7996767', '59433829', '107092104', '3042522', '79903670', '79911017', '21130644', '110763649', '110808241', '37369162', '76438347', '53162499', '2410790', '85797487', '108717565', '112169513', '26252040', '61753449', '76278374', '78867958', '110470244', '55701266', '93975364', '61112239', '92499472', '112386846', '41505769', '43950358', '18430964', '73616275', '112345100', '47188348', '6254696', '15931086', '6984502', '7619736', '112697971', '50989892', '67865033', '89634114', '114246217', '105730749', '13733531', '11830634', '34596343', '85039650', '68522592', '5193638', '22938517', '41197270', '41343346', '52430518', '43949786', '50432934', '71799423', '56047311', '2059050', '7471519', '57618451', '78136250', '11583513', '93405996', '65065228', '116360218', '6267425', '89431968', '98533830', '116849612', '58180754', '12161271', '117276476', '92572393', '25342', '86004397', '93951358', '6626517', '93985208', '70694458', '4970094', '82762555', '60887600', '20644796', '21754803', '5590954', '92108452', '119183064', '20677320', '30304433', '109477334', '16809039', '119452063', '107263948']"
Beth,1310564,[],,,[],[]
